City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
Taldan,99,RU,1569986963,40,53.69,124.82,39.66,12.21
Qaanaaq,100,GL,1569986921,96,77.48,-69.36,32.46,8.1
Puerto Ayora,59,EC,1569986963,92,-0.74,-90.35,68,4
Norman Wells,90,CA,1569986927,87,65.28,-126.83,48.2,3.33
Egvekinot,100,RU,1569986964,92,66.32,-179.17,31.4,11.45
Biltine,43,TD,1569986964,60,14.53,20.93,82.83,5.37
Hereford,0,GB,1569986690,91,52.06,-2.72,48,5.55
Ushuaia,40,AR,1569986964,74,-54.81,-68.31,37.4,9.17
Yagodnoye,100,RU,1569986964,58,62.52,149.63,24.49,1.41
Ribeira Grande,75,PT,1569986964,88,38.52,-28.7,73.4,42.5
Georgetown,20,GY,1569986867,88,6.8,-58.16,78.8,4.7
Port Macquarie,0,AU,1569986965,33,-31.43,152.91,75.2,11.41
Tiksi,100,RU,1569986965,88,71.64,128.87,29.22,22.06
Cape Town,0,ZA,1569986708,93,-33.93,18.42,61,2.24
Sinegorye,100,RU,1569986965,74,62.09,150.53,22.02,4.34
Uyemskiy,90,RU,1569986965,93,64.47,40.85,41,11.18
Bethel,90,US,1569986965,70,60.79,-161.76,48.2,3.36
Mataura,98,NZ,1569986966,63,-46.19,168.86,48.99,14
Dunedin,88,NZ,1569986921,75,-45.87,170.5,42.01,25.99
Coahuayana,100,MX,1569986966,93,18.62,-100.35,71.25,2.04
Punta Arenas,20,CL,1569986966,80,-53.16,-70.91,39.2,14.99
Mayo,90,CA,1569986966,87,63.59,-135.9,46.4,9.17
Springfield,75,US,1569986788,88,42.1,-72.59,70,12.75
Butaritari,85,KI,1569987026,66,3.07,172.79,85.17,9.95
Villacarrillo,0,ES,1569987026,63,38.12,-3.08,63.82,6.35
Nishihara,20,JP,1569987027,51,35.74,139.53,90,5.82
Hithadhoo,57,MV,1569987027,75,-0.6,73.08,82.67,16.84
Ulundi,0,ZA,1569987027,88,-28.29,31.43,43.23,1.59
Porto Franco,97,BR,1569987027,78,-6.34,-47.4,76.28,2.01
Grootfontein,0,NA,1569987027,18,-19.56,18.1,53.6,3.36
Porbandar,40,IN,1569987028,79,21.64,69.61,84.2,10.13
Sao Joao da Barra,82,BR,1569987028,82,-21.64,-41.05,66.12,3.6
Port Alfred,0,ZA,1569987028,90,-33.59,26.89,54,4
Albany,90,US,1569986788,78,42.65,-73.75,73.99,7.54
Port Augusta,0,AU,1569987026,11,-32.49,137.76,91.4,17.22
Port Elizabeth,1,US,1569987029,83,39.31,-74.98,73.4,9.42
Pawak,58,PH,1569987029,77,8.02,124.26,84,7
Meulaboh,100,ID,1569987029,77,4.14,96.13,79.55,3.89
Statesboro,1,US,1569987029,83,32.45,-81.78,78.8,4.61
Caazapa,41,PY,1569987029,49,-26.15,-56.4,85.67,7.45
Pasni,26,PK,1569987029,83,25.26,63.48,80.67,2.24
Sitka,77,US,1569987030,98,37.17,-99.65,64.99,3.98
Copiapo,80,CL,1569987030,87,-27.37,-70.33,50,2.24
Burns Lake,38,CA,1569987030,73,54.23,-125.76,38.89,1.88
Broome,0,GB,1569987030,93,52.47,1.45,48,10.29
Carnarvon,100,ZA,1569987030,31,-30.97,22.13,49.47,10.07
Clyde River,90,CA,1569987030,100,70.47,-68.59,33.8,11.41
Port Hawkesbury,90,CA,1569987030,87,45.62,-61.36,48.99,3.36
Tornio,90,FI,1569987031,93,61.12,27.27,37.4,4.7
Busselton,88,AU,1569986923,65,-33.64,115.35,61,3
Hermanus,100,ZA,1569986915,83,-34.42,19.24,59,5.99
Mount Isa,0,AU,1569987031,8,-20.73,139.49,95,12.75
Beroroha,98,MG,1569987031,49,-21.68,45.17,75.3,2.93
Waiouru,100,NZ,1569987031,96,-39.48,175.67,40.4,14.16
Victoria,75,BN,1569987007,74,5.28,115.24,84.2,2.24
Burgersdorp,0,ZA,1569987032,82,-30.99,26.32,36.89,3.74
Tasiilaq,98,GL,1569987032,64,65.61,-37.64,35.6,18.34
Airai,0,TL,1569987032,35,-8.93,125.41,91.52,5.12
Bagn,100,NO,1569987032,97,60.82,9.55,33.01,9.71
Lagoa,0,PT,1569986979,88,37.14,-8.45,64,9.17
Avallon,95,FR,1569987032,90,47.49,3.91,55.74,12.08
Kichmengskiy Gorodok,84,RU,1569987032,91,59.99,45.81,39.32,8.12
Quelimane,75,MZ,1569987032,94,-17.88,36.89,73.4,11.41
New Norfolk,0,AU,1569987033,42,-42.78,147.06,66.99,13.87
Nanortalik,100,GL,1569987033,64,60.14,-45.24,42.33,2.98
Bacolod,90,PH,1569987033,74,10.68,122.95,83.12,10.11
Esperance,0,AU,1569987033,53,-33.86,121.89,73.4,10.29
Svarstad,100,NO,1569987033,87,59.4,9.97,45,11.41
Katsuura,75,JP,1569987033,74,33.93,134.5,80.6,19.46
Mendi,100,ET,1569987034,89,9.8,35.1,61.03,3.53
Hobart,0,AU,1569987034,42,-42.88,147.33,66.99,13.87
Severo-Kurilsk,100,RU,1569986933,89,50.68,156.12,46.58,12.08
Sao Miguel do Araguaia,0,BR,1569987034,51,-13.28,-50.16,78.65,2.42
Gimli,100,CA,1569987034,88,50.63,-96.99,39.99,3
Port-Gentil,96,GA,1569987034,82,-0.72,8.78,76.98,13.22
Grindavik,75,IS,1569987034,87,63.84,-22.43,44.6,9.17
Chokurdakh,100,RU,1569987035,89,70.62,147.9,27.19,22.95
Anori,27,BR,1569987035,57,-3.74,-61.66,80.42,0.45
Lima,90,PE,1569987035,88,-12.06,-77.04,62.6,14.99
Salamanca,75,MX,1569987035,93,20.57,-101.19,64.99,8.05
Abbeville,75,FR,1569987036,87,50.11,1.83,55,9.17
Lorengau,81,PG,1569987036,75,-2.02,147.27,82.2,1.74
Bhadasar,0,IN,1569987036,41,28.3,74.31,87.45,5.5
North Bend,1,US,1569987036,71,43.41,-124.22,55,9.17
Tucumcari,90,US,1569987036,69,35.17,-103.73,73.4,11.41
Sinnamary,100,GF,1569987036,80,5.38,-52.96,82.11,14.09
Chuy,100,UY,1569987037,99,-33.69,-53.46,61.61,0.58
San Patricio,72,PY,1569987037,44,-26.98,-56.83,88.73,12.88
Altamont,90,CA,1569987037,100,49.4,-98.5,41,6.93
Salinas,0,US,1569986833,44,36.67,-121.66,62.6,9.17
Juegang,100,CN,1569987037,81,32.31,121.18,79,4
Hilo,1,US,1569987037,62,19.71,-155.08,84.2,5.82
Taltal,1,CL,1569987037,88,-25.41,-70.49,49.74,2.3
Saskylakh,100,RU,1569987038,90,71.97,114.09,26.52,9.48
Dikson,94,RU,1569987038,83,73.51,80.55,28.74,15.95
Leningradskiy,100,RU,1569987038,94,69.38,178.42,34.19,24.56
Yumen,100,CN,1569987038,17,40.29,97.04,62.45,19.73
Prudyanka,33,UA,1569987038,93,50.24,36.17,44.6,2.24
Kilindoni,92,TZ,1569986826,84,-7.91,39.67,77.86,1.59
Bambous Virieux,40,MU,1569987039,88,-20.34,57.76,75,11.41
Upernavik,100,GL,1569986991,61,72.79,-56.15,35.88,8.16
Ancud,0,CL,1569987039,100,-41.87,-73.83,33.8,3.36
Ketchikan,90,US,1569987039,87,55.34,-131.65,51.8,28.86
Tarut,1,SA,1569987039,83,26.57,50.06,91.4,6.93
Zhigansk,86,RU,1569987039,69,66.77,123.37,27.32,6.06
Atuona,28,PF,1569987039,73,-9.8,-139.03,79.79,13.13
Alofi,40,NU,1569987039,69,-19.06,-169.92,80.6,9.17
Avarua,44,CK,1569986937,60,-21.21,-159.78,75.2,13.87
Pangnirtung,100,CA,1569987040,87,66.15,-65.72,26.85,1.54
Ponta Delgada,20,PT,1569987040,78,37.73,-25.67,73.4,17.22
Kutum,96,SD,1569987040,59,14.2,24.66,74.55,10.38
East London,0,ZA,1569987040,82,-33.02,27.91,52.35,8.3
Najran,20,SA,1569987040,46,17.54,44.22,73.4,3.36
Arlit,66,NE,1569987040,16,18.74,7.39,87.27,8.88
San Quintin,100,PH,1569987041,69,17.54,120.52,84.59,4.45
Coihaique,0,CL,1569987041,86,-45.58,-72.07,33.8,2.24
Xiaoweizhai,10,CN,1569987041,56,26.23,107.51,76.46,7.34
Salalah,75,OM,1569987041,78,17.01,54.1,80.6,3.36
Chimbote,33,PE,1569987041,93,-9.08,-78.59,60.87,13.6
Bluff,100,AU,1569987041,57,-23.58,149.07,73,17.05
Ligayan,100,PH,1569987042,65,4.65,119.47,84.54,6.26
Oistins,40,BB,1569987042,74,13.07,-59.53,82.4,10.29
Palu,0,ID,1569986970,67,-0.9,119.87,84.05,5.86
Anadyr,40,RU,1569987042,80,64.73,177.51,41,6.71
Kurumkan,42,RU,1569987042,66,54.33,110.32,28.86,4.68
Castro,0,CL,1569987042,100,-42.48,-73.76,33.8,3.36
Itamaraca,40,BR,1569987042,74,-7.75,-34.83,78.8,6.93
Peterhead,0,AU,1569987042,43,-34.83,138.5,82.99,9.17
Ler,90,NO,1569987043,100,63.2,10.3,42.8,3.36
Abu Samrah,0,SY,1569987043,73,35.3,37.18,62.9,3.53
Xingyi,31,CN,1569987043,79,24.19,102.82,66.2,4.97
Lata,1,IN,1569987043,65,30.78,78.62,39.36,3.04
Provideniya,75,RU,1569987043,81,64.42,-173.23,46.4,8.95
Calama,0,CL,1569987044,57,-22.46,-68.93,52,6.93
Buala,99,SB,1569987044,95,-8.15,159.59,75.41,16.93
Presidencia Roque Saenz Pena,100,AR,1569987044,95,-26.79,-60.44,64.65,10.96
Oussouye,0,SN,1569987044,94,12.49,-16.54,80.6,4.7
Sao Filipe,52,CV,1569987044,88,14.9,-24.5,78.31,13.62
Ilulissat,48,GL,1569987044,36,69.22,-51.1,44.6,19.46
Golpayegan,18,IR,1569987044,38,33.46,50.29,56.78,6.51
Novo Aripuana,62,BR,1569987045,57,-5.12,-60.38,82.27,1.14
Whittlesea,0,AU,1569987045,19,-37.51,145.12,82.99,19.46
Yulara,100,AU,1569987045,8,-25.24,130.99,100.4,8.05
Nawabganj,16,BD,1569987045,81,24.6,88.27,79.97,5.17
Arona,40,IT,1569987045,100,45.76,8.56,64.99,5.82
Luderitz,0,NA,1569986955,76,-26.65,15.16,53.6,1.12
Mansa,40,IN,1569987045,88,23.43,72.66,77,10.96
Moron,100,HT,1569987046,75,18.56,-74.26,80.24,3.69
Kodiak,90,US,1569987046,88,39.95,-94.76,80.01,10.29
Devils Lake,90,US,1569986861,86,48.11,-98.87,39.2,8.05
Takoradi,89,GH,1569987046,97,4.89,-1.75,72.77,3.18
Innisfail,78,AU,1569987046,53,-17.52,146.03,77,11.01
Labuhan,57,ID,1569987046,47,-2.54,115.51,92.44,2.57
Estreito,0,BR,1569987046,77,-22.44,-42.8,69.8,6.93
Okha,100,RU,1569987046,93,53.59,142.95,48.03,23.64
Altay,0,CN,1569987047,26,47.83,88.13,35.54,1.54
Camalu,0,MX,1569987047,11,30.85,-116.07,48.99,14
Mercedes,100,UY,1569986919,76,-33.25,-58.03,57.41,20.85
Nikolskoye,20,RU,1569987047,100,59.7,30.79,42.01,8.95
Te Anau,19,NZ,1569986912,65,-45.41,167.72,42,10.38
Sergeyevka,73,KZ,1569987047,63,53.88,67.42,39.56,11.72
Hofn,0,IS,1569987047,63,64.25,-15.21,20.94,3.33
Bela,63,PK,1569987048,75,26.23,66.31,77.61,5.95
Codrington,0,AU,1569987048,36,-28.95,153.24,78.01,5.82
Ramanathapuram,57,IN,1569987048,63,9.37,78.83,83.37,3.74
Charters Towers,46,AU,1569987048,40,-20.07,146.27,82.95,15.7
Taoudenni,0,ML,1569987048,12,22.68,-3.98,88.62,8.05
Cururupu,44,BR,1569987048,93,-1.82,-44.87,72.42,2.57
Luanda,75,AO,1569987008,94,-8.83,13.24,73.4,4.7
Horconcitos,90,PA,1569987049,95,8.47,-81.8,68.82,0.89
Bowen,31,AU,1569987049,54,-20.01,148.25,78.8,21.92
Oriximina,30,BR,1569987049,72,-1.77,-55.87,79.98,6.26
Arraial do Cabo,0,BR,1569987049,79,-22.97,-42.02,67.37,24.94
Dumas,40,IN,1569987049,88,21.09,72.71,80.6,10.42
Mokhsogollokh,97,RU,1569987049,52,61.4,128.95,32.57,12.08
Wajima,75,JP,1569987050,69,37.4,136.9,78.8,3.36
Kaitangata,96,NZ,1569987050,62,-46.28,169.85,46,17
Athabasca,80,CA,1569986889,81,54.72,-113.29,34.17,6.13
Maningrida,80,AU,1569987050,46,-12.05,134.23,89.13,15.19
Hamilton,40,CA,1569986811,100,43.26,-79.87,71.01,6.93
Surin,0,TH,1569987050,70,14.88,103.49,91,2.24
Hasaki,20,JP,1569987050,47,35.73,140.83,86,4.7
Tabou,100,CI,1569987051,96,4.42,-7.36,73.72,3.51
Mjolby,0,SE,1569987051,100,58.33,15.12,41,8.05
Pacific Grove,1,US,1569986878,51,36.62,-121.92,62.6,6.93
Iqaluit,20,CA,1569987051,79,63.75,-68.52,32,3.36
Along,81,IN,1569987051,93,28.17,94.8,60.02,2.44
Azare,75,NG,1569987051,78,11.67,10.19,75.52,5.32
Grand Gaube,40,MU,1569987051,88,-20.01,57.66,75,11.41
Black River,20,JM,1569987052,78,18.03,-77.85,78.8,1.12
Red Bluff,1,US,1569987052,36,40.18,-122.24,60.8,5.82
Hami,38,CN,1569987052,25,42.84,93.51,62.97,7.05
Kruisfontein,97,ZA,1569987052,86,-34,24.73,52.57,7.31
Iralaya,92,HN,1569987052,95,15,-83.23,75.97,2.01
Pisco,40,PE,1569986859,88,-13.71,-76.2,63,11.41
Santa Isabel do Rio Negro,11,BR,1569987053,83,-0.41,-65.02,75.84,2.55
Espanola,100,CA,1569987053,82,46.27,-81.77,57.99,11.01
Kosh-Agach,4,RU,1569987053,53,49.99,88.66,25.5,0.69
Saint-Francois,75,FR,1569987042,93,46.42,3.91,55.4,3.36
Apt,0,FR,1569987053,93,43.88,5.4,62.6,3.36
Talnakh,75,RU,1569987053,75,69.49,88.39,32,11.18
Vila,40,IT,1569987053,100,45.18,8.4,64.99,5.82
Fortuna,1,US,1569987054,93,40.6,-124.16,53.01,8.05
Haines Junction,100,CA,1569987054,93,60.75,-137.51,39.16,9.13
Noshiro,0,JP,1569987054,50,40.21,140.05,77,1.12
Berlevag,75,NO,1569987054,64,70.86,29.09,37.4,13.87
Obo,61,CF,1569987054,98,5.39,26.49,67.02,1.52
Opuwo,100,NA,1569987054,69,-18.06,13.84,52.37,2.01
Mailsi,0,PK,1569987055,46,29.8,72.18,85.33,7.65
Bodden Town,20,KY,1569987055,83,19.28,-81.25,84.2,7.7
Bukachacha,45,RU,1569987055,35,52.99,116.91,40.29,9.82
Girona,20,ES,1569987055,87,41.98,2.82,69.01,1.12
Muros,75,ES,1569987055,93,42.77,-9.06,63,1.12
Cangzhou,0,CN,1569987055,29,38.3,116.85,84.74,2.57
Duluth,90,US,1569986949,61,46.77,-92.13,50,17.22
Vardo,1,US,1569987056,83,39.62,-77.74,77,3.36
Aklavik,75,CA,1569987056,80,68.22,-135.01,41,10.29
Myitkyina,100,MM,1569987056,99,25.38,97.4,69.78,1.68
Naspur,29,IN,1569987056,83,18.83,79.45,79.3,4.29
Samarai,96,PG,1569987056,92,-10.62,150.67,75.93,9.28
Kenai,90,US,1569987056,81,60.55,-151.26,48.99,19.3
Yurimaguas,83,PE,1569987057,93,-5.9,-76.1,67.6,3.89
Kaeo,95,NZ,1569986915,85,-35.1,173.78,61,17.34
Camapua,23,BR,1569987057,39,-19.53,-54.04,81.28,5.99
Camacha,40,PT,1569987057,77,33.08,-16.33,69.8,12.75
Tranby,100,NO,1569987057,87,59.81,10.27,45,9.17
Ahipara,81,NZ,1569987057,85,-35.17,173.16,61,30.15
Nakhon Nayok,16,TH,1569987057,77,14.2,101.21,87.01,1.99
Manokwari,64,ID,1569987058,66,-0.87,134.08,80.72,6.82
Yashkul,0,RU,1569987058,85,46.17,45.34,58.42,9.42
Aliartos,0,GR,1569987058,82,38.38,23.11,70,0.89
Tefe,100,BR,1569987058,71,-3.35,-64.71,77.97,1.45
Bilma,26,NE,1569987058,17,18.69,12.92,85.29,10.98
Longyearbyen,75,NO,1569987059,79,78.22,15.63,24.8,5.82
Lompoc,1,US,1569987059,82,34.64,-120.46,62.6,10.29
Bonavista,83,CA,1569987059,79,48.65,-53.11,43,5.99
Upata,100,VE,1569987059,87,8.02,-62.41,78.01,3
Guerrero Negro,0,MX,1569987059,79,27.97,-114.04,65.91,16.8
Nushki,94,PK,1569987059,25,29.55,66.02,76.6,2.37
Ekibastuz,19,KZ,1569987059,59,51.72,75.32,43.12,6.11
Maryville,1,US,1569987060,57,35.76,-83.97,80.6,0.2
La Palma,100,CO,1569987060,91,5.36,-74.39,69.76,2.59
Lebu,75,ET,1569987060,93,8.96,38.73,53.6,2.26
Samana,100,EC,1569987060,93,0.12,-76.97,71.58,1.83
Truth or Consequences,75,US,1569987060,30,33.13,-107.25,71.6,17.22
Mogadishu,5,SO,1569987060,90,2.04,45.34,76.2,6.67
Kupang,20,ID,1569987060,41,-10.16,123.6,93.2,19.46
Palmer,0,AU,1569987061,43,-34.85,139.16,82.99,9.17
Lumphat,52,KH,1569987061,75,13.5,106.97,86.63,1.57
Cheremkhovo,53,RU,1569987061,56,53.15,103.07,38.44,5.03
Istanbul,0,TR,1569987061,82,41.01,28.95,71.01,8.05
Komsomolskiy,97,RU,1569987062,96,67.55,63.78,38.49,8.86
Hermiston,1,US,1569987062,49,45.84,-119.29,51.8,4.7
Bosaso,0,SO,1569987062,62,11.28,49.18,85.44,17.52
Atasu,0,KZ,1569987062,41,48.68,71.64,39.2,8.41
Saint George,0,GR,1569987007,87,39.45,22.34,62.6,0.89
Saint-Philippe,90,CA,1569987062,100,45.36,-73.48,64.99,5.82
Baykit,100,RU,1569987024,89,61.68,96.39,29.69,9.44
Vao,0,EE,1569987063,84,59.1,26.19,44.33,13.96
Mabaruma,99,GY,1569987063,98,8.2,-59.78,74.08,1.88
Robertsport,100,LR,1569987063,88,6.75,-11.37,77.05,6.2
Paracuru,75,BR,1569987063,74,-3.41,-39.03,78.8,12.75
Pitimbu,20,BR,1569987063,94,-7.47,-34.81,73.4,4.7
Nabire,91,ID,1569987063,55,-3.36,135.5,85.89,2.75
Dingle,100,PH,1569987064,69,11,122.67,84.54,5.14
Monterey,1,US,1569986924,51,36.6,-121.89,62.6,6.93
Namibe,100,AO,1569987064,78,-15.19,12.15,64.65,4.97
Pavlodar,0,KZ,1569987064,86,52.28,76.96,37.4,2.24
Saldanha,31,PT,1569987064,90,41.42,-6.55,52.17,6.55
Ayan,0,IR,1569987064,39,38.23,44.7,43.73,4.5
West Wendover,20,US,1569986863,57,40.74,-114.07,48.2,9.17
Brae,100,GB,1569987065,81,60.4,-1.35,48.2,17.22
Gat,7,SN,1569987065,94,14.69,-16.54,78.8,4.7
Souillac,90,FR,1569987065,100,45.6,-0.6,57.2,4.7
Makokou,81,GA,1569987065,99,0.56,12.85,67.44,2.42
Husavik,96,CA,1569987065,88,50.56,-96.99,41,3
Richards Bay,38,ZA,1569987065,78,-28.77,32.06,63.95,8.95
Port Lincoln,0,AU,1569987065,87,-34.72,135.86,58.85,10.11
San Cristobal,100,HN,1569987066,91,14.68,-86.92,67.35,2.37
Rzhanitsa,0,RU,1569987066,81,53.43,33.92,44.6,8.95
Cotonou,40,BJ,1569987066,88,6.37,2.43,77,4.7
Socorro,90,US,1569987066,35,31.65,-106.3,75.2,5.82
Cayenne,40,GF,1569987066,94,4.94,-52.33,77,4.61
Srednekolymsk,0,RU,1569987067,51,67.46,153.71,31.47,10.27
Lodja,100,CD,1569987067,97,-3.52,23.6,68.72,1.16
Chumikan,100,RU,1569987067,46,54.72,135.31,40.49,7.74
Bonthe,99,SL,1569987067,88,7.53,-12.5,76.92,5.59
Rondonopolis,94,BR,1569987067,71,-16.46,-54.64,77.52,2.57
Kinshasa,75,CD,1569987067,73,-4.32,15.31,77,3.91
Beringovskiy,98,RU,1569987067,73,63.05,179.32,42.24,9.33
Sokoni,100,CD,1569987068,84,-12.89,28.78,63.3,4.12
Kununurra,0,AU,1569987068,20,-15.77,128.74,98.6,11.41
Binzhou,10,CN,1569987068,32,37.38,117.96,81.15,5.97
Beacon,40,US,1569987068,73,41.5,-73.97,75.99,5.82
Flinders,0,AU,1569987068,38,-34.58,150.85,82.99,10.29
Havre-Saint-Pierre,90,CA,1569987068,93,50.23,-63.6,35.6,8.05
Tacna,90,PE,1569987031,93,-18.01,-70.25,62.6,4.7
Kozan,20,TR,1569987069,100,37.45,35.82,71.01,3.53
Constitucion,40,MX,1569987069,63,23.99,-104.67,66.2,3.36
Kurgan,13,RU,1569987069,70,55.45,65.32,38.33,10.18
Cherskiy,23,RU,1569987069,69,68.75,161.3,28.61,9.98
Sydney Mines,90,CA,1569987069,93,46.24,-60.22,48.99,5.82
Padang,100,ID,1569987069,86,-0.92,100.36,77.91,13.85
Atar,97,MR,1569986971,10,20.52,-13.05,92.6,10.18
Hope,1,US,1569987006,57,33.67,-93.59,81,6.93
Barras,30,BR,1569987070,77,-4.24,-42.29,73.81,5.39
Huilong,51,CN,1569987070,71,31.15,106.5,74.12,2.89
Les Cayes,100,HT,1569987070,77,18.19,-73.75,82.86,15.79
Coquimbo,0,CL,1569987070,76,-29.95,-71.34,48.2,3.36
Quatre Cocos,40,MU,1569987070,88,-20.21,57.76,75,11.41
Mahon,20,IE,1569987070,93,51.89,-8.4,41,8.05
Kabalo,90,CD,1569987070,91,-6.05,26.92,69.62,2.26
Suruc,0,TR,1569987071,40,36.98,38.42,68,9.17
Ithaca,1,US,1569986902,83,42.44,-76.5,73.4,5.88
Vila Franca do Campo,20,PT,1569986946,78,37.72,-25.43,73.4,17.22
Ust-Barguzin,8,RU,1569987071,57,53.41,109.03,42.81,4.61
Yermakovskoye,0,RU,1569987071,59,53.28,92.4,38.78,2.95
Olinda,0,AU,1569987071,23,-37.84,145.39,82.99,17.22
Bure,94,NG,1569987071,85,10.52,10.33,72.57,3.91
Adrar,0,DZ,1569987072,14,27.87,-0.29,75.2,8.05
Pevek,100,RU,1569987072,89,69.7,170.27,30.75,23.62
Gorahun,100,SL,1569987072,98,7.76,-11.77,72.55,2.08
Broken Hill,0,AU,1569986922,6,-31.97,141.45,86,14.99
Los Llanos de Aridane,95,ES,1569987072,88,28.66,-17.92,82.99,11.41
Alice Springs,0,AU,1569986876,9,-23.7,133.88,93.2,10.29
Makakilo City,1,US,1569987072,69,21.35,-158.09,86,11.41
Martin,0,US,1569987072,88,36.34,-88.85,77,5.82
Saurimo,96,AO,1569987073,87,-9.66,20.4,67.65,1.01
Griffith,0,AU,1569986837,16,-34.29,146.06,86,12.75
Mahebourg,40,MU,1569987073,88,-20.41,57.7,75,11.41
Salcininkai,75,LT,1569987073,93,54.3,25.38,55.99,16.11
Carbonia,40,IT,1569987073,82,39.17,8.53,62.6,4.7
Kidal,30,ML,1569987073,45,18.44,1.41,83.15,5.28
Tezu,65,IN,1569987073,96,27.93,96.16,71.99,1.21
Acapulco,40,MX,1569987005,83,16.86,-99.88,80.6,2.24
Deputatskiy,100,RU,1569987074,90,69.3,139.9,21.41,29.1
Buritis,78,BR,1569987074,53,-15.62,-46.42,77.21,2.21
Zabol,0,IR,1569987074,37,31.03,61.49,69.8,9.17
Solnechnyy,100,RU,1569987074,70,50.72,136.64,68.7,5.08
Saint-Louis,40,SN,1569987074,83,16.03,-16.5,82.4,6.93
Ambon,90,FR,1569987074,76,47.55,-2.56,57.99,5.82
Asosa,100,ET,1569987075,75,10.07,34.53,64.59,3.04
Staryy Oskol,44,RU,1569987075,90,51.3,37.84,44.52,7.14
Batagay-Alyta,100,RU,1569987075,72,67.8,130.41,13.08,6.11
Vostok,0,RU,1569987075,38,46.45,135.83,73.47,7.31
Portland,90,US,1569986835,100,43.66,-70.25,62.6,8.05
Viedma,90,AR,1569987075,48,-40.81,-62.99,40.94,5.14
Mizdah,0,LY,1569987075,85,31.45,12.98,62.83,5.23
Artvin,0,TR,1569987076,77,41.18,41.83,59,20.8
Bireun,57,ID,1569987045,74,5.2,96.7,75.84,3.91
Ordynskoye,92,RU,1569987076,64,54.37,81.9,40.11,10.92
Rock Springs,1,US,1569987076,74,41.59,-109.2,37.4,14.99
Dillon,90,US,1569987076,69,45.22,-112.64,35.6,2.59
Amurzet,42,CN,1569987076,60,47.69,131.09,74.03,4.99
Yenagoa,97,NG,1569987077,94,4.92,6.26,74.42,2.37
Emerald,40,AU,1569987077,41,-23.53,148.16,79,16.11
Chara,0,GR,1569987077,87,39.42,22.43,62.6,0.89
Ziro,75,IN,1569987077,74,27.54,93.82,84.2,2.24
Rassvet,0,RU,1569987077,88,49.11,45.47,53.38,11.72
Vila Velha,75,BR,1569987078,74,-3.71,-38.6,78.8,12.75
Kodinsk,93,RU,1569987078,84,58.6,99.18,34.12,8.34
Teya,5,MX,1569987078,78,21.05,-89.07,80.6,5.82
Hervey Bay,75,AU,1569987078,53,-25.3,152.85,77,18.34
Areia Branca,40,BR,1569987078,100,-10.76,-37.31,77,10.29
Sabang,88,PH,1569987078,77,13.8,121.11,87.01,3
Cunen,100,GT,1569987078,99,15.34,-91.03,55,2.59
